      -2.925699       0.663542      -3.731931       0.831080      -3.731931       0.831080      -3.400843       0.771300      -3.400843       0.771300
      -2.921526       0.681678      -3.728017       0.854300      -3.728017       0.854300      -3.396935       0.792600      -3.396935       0.792600
      -2.917181       0.700038      -3.723940       0.877840      -3.723940       0.877840      -3.392850       0.814180      -3.392850       0.814180
      -2.912659       0.718623      -3.719696       0.901690      -3.719696       0.901690      -3.388582       0.836040      -3.388582       0.836040
      -2.907953       0.737435      -3.715275       0.925880      -3.715275       0.925880      -3.384122       0.858190      -3.384122       0.858190
      -2.903058       0.756474      -3.710678       0.950380      -3.710678       0.950380      -3.379468       0.880620      -3.379468       0.880620
      -2.897969       0.775743      -3.705898       0.975200      -3.705898       0.975200      -3.374613       0.903330      -3.374613       0.903330
      -2.892678       0.795243      -3.700928       1.000360      -3.700928       1.000360      -3.369547       0.926340      -3.369547       0.926340
      -2.887181       0.814975      -3.695761       1.025860      -3.695761       1.025860      -3.364266       0.949640      -3.364266       0.949640
      -2.881471       0.834940      -3.690395       1.051690      -3.690395       1.051690      -3.358762       0.973240      -3.358762       0.973240
      -2.875541       0.855140      -3.684820       1.077870      -3.684820       1.077870      -3.353027       0.997140      -3.353027       0.997140
      -2.869384       0.875576      -3.679032       1.104390      -3.679032       1.104390      -3.347058       1.021330      -3.347058       1.021330
      -2.862995       0.896248      -3.673023       1.131270      -3.673023       1.131270      -3.340840       1.045840      -3.340840       1.045840
      -2.856365       0.917157      -3.666790       1.158490      -3.666790       1.158490      -3.334374       1.070640      -3.334374       1.070640
      -2.849488       0.938305      -3.660324       1.186070      -3.660324       1.186070      -3.327646       1.095760      -3.327646       1.095760
      -2.842357       0.959692      -3.653618       1.214010      -3.653618       1.214010      -3.320652       1.121180      -3.320652       1.121180
      -2.834963       0.981319      -3.646664       1.242320      -3.646664       1.242320      -3.313380       1.146920      -3.313380       1.146920
      -2.827299       1.003186      -3.639456       1.271000      -3.639456       1.271000      -3.305822       1.172980      -3.305822       1.172980
      -2.819357       1.025293      -3.631990       1.300040      -3.631990       1.300040      -3.297974       1.199350      -3.297974       1.199350
      -2.811129       1.047641      -3.624254       1.329460      -3.624254       1.329460      -3.289824       1.226040      -3.289824       1.226040
      -2.802607       1.070230      -3.616241       1.359260      -3.616241       1.359260      -3.281364       1.253050      -3.281364       1.253050
      -2.793782       1.093060      -3.607943       1.389450      -3.607943       1.389450      -3.272583       1.280390      -3.272583       1.280390
      -2.784646       1.116130      -3.599357       1.420010      -3.599357       1.420010      -3.263476       1.308050      -3.263476       1.308050
      -2.775189       1.139441      -3.590469       1.450970      -3.590469       1.450970      -3.254030       1.336040      -3.254030       1.336040
      -2.765403       1.162991      -3.581270       1.482330      -3.581270       1.482330      -3.244236       1.364360      -3.244236       1.364360
      -2.755277       1.186781      -3.571753       1.514090      -3.571753       1.514090      -3.234083       1.393020      -3.234083       1.393020
      -2.744803       1.210808      -3.561917       1.546230      -3.561917       1.546230      -3.223567       1.422000      -3.223567       1.422000
      -2.733971       1.235073      -3.551739       1.578800      -3.551739       1.578800      -3.212669       1.451330      -3.212669       1.451330
      -2.722770       1.259573      -3.541220       1.611770      -3.541220       1.611770      -3.201387       1.480990      -3.201387       1.480990
      -2.711191       1.284308      -3.530348       1.645150      -3.530348       1.645150      -3.189710       1.510980      -3.189710       1.510980
      -2.699222       1.309275      -3.519113       1.678950      -3.519113       1.678950      -3.177621       1.541320      -3.177621       1.541320
      -2.686854       1.334472      -3.507501       1.713180      -3.507501       1.713180      -3.165109       1.572010      -3.165109       1.572010
      -2.674075       1.359898      -3.495513       1.747820      -3.495513       1.747820      -3.152174       1.603030      -3.152174       1.603030
      -2.660874       1.385550      -3.483123       1.782910      -3.483123       1.782910      -3.138791       1.634410      -3.138791       1.634410
